Hour,Baseline_kW
511,51.36900703219266
512,64.27830271633283
513,71.76426065175534
514,73.0547498407475
515,75.96664268082498
516,78.3589930167418
517,79.9585561289213
518,79.9585561289213
519,79.9585561289213
520,79.9585561289213
521,79.9585561289213
522,79.9585561289213
523,77.73670362104018
524,76.15903675299397
525,73.01577719693677
526,69.51857979813694
527,61.11434860805476
528,47.861671118657625
529,38.18681313452305
530,32.09244163460463
531,30.35055372413645
532,35.18400610882549
533,38.14961763441196
534,41.82288431342625
535,54.18323968182286
536,63.9620182334477
537,70.87294262290573
538,74.52311798733048
539,75.99961533480794
540,78.15957768325445
541,79.9585561289213
542,79.9585561289213
543,79.9585561289213
544,79.9585561289213
545,79.9585561289213
546,79.9585561289213
547,79.9585561289213
548,77.85436116237652
549,74.06490185405492
550,70.95994324281209
551,61.317551823320734
552,39.95445166590398
553,39.71737594337044
554,31.574699151009217
555,29.7298512254987
556,32.137789982904835
557,37.69735669947595
558,42.78166483794534
559,57.9273975762386
560,66.54310662154222
561,72.87664740550339
562,74.50771707212434
563,77.21441406092312
564,79.4459387225268
565,79.9585561289213
566,79.9585561289213
567,79.9585561289213
568,79.9585561289213
569,79.9585561289213
570,79.9585561289213
571,79.9585561289213
572,79.1713282250092
573,75.195379031017
574,70.66742801141595
575,59.37192092648613
576,49.98566814260929
577,41.7167567155667
578,37.57079333948597
579,33.073402386450006
580,32.924611511815094
581,37.22658985066326
582,42.73039470278364
583,52.16947415894104
584,67.09033564511026
585,72.19904413529277
586,73.88464253552728
587,76.68933783833751
588,79.0878016332294
589,79.9585561289213
590,79.9585561289213
591,79.9585561289213
592,79.9585561289213
593,79.9585561289213
594,79.9585561289213
595,79.9585561289213
596,77.60726817633366
597,73.98823460677994
598,69.59713131104155
599,65.30701541218835
600,47.555149767224464
601,38.12415878940916
602,34.77587944803942
603,29.716772731717473
604,33.373618046658194
605,41.273170923832865
606,48.86704145275379
607,53.40036273151559
608,65.4707684879233
609,72.69636411032296
610,74.27211013681963
611,76.69091567481023
612,79.7499313018277
613,79.9585561289213
614,79.9585561289213
615,79.9585561289213
616,79.9585561289213
617,79.9585561289213
618,79.9585561289213
619,79.9585561289213
620,78.5513589347213
621,75.12010682786952
622,72.35466334986958
623,61.86260497592314
624,53.27106019474298
625,44.3784121229796
626,34.85463802600771
627,32.64916771017658
